Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2016-01-11T23:30:00+00:00,,,52.322753,-0.069606,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-11T23:35:00+00:00,,,52.226130,0.116052,Male,18-24,Asian or Asian British - Any other Asian ethnic background (A9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T00:10:00+00:00,,,52.226242,0.149134,Male,over 34,White - White British (W1),,,Controlled drugs,Suspect summonsed to court,,
Person search,2016-01-12T00:40:00+00:00,,,52.226242,0.149134,Female,25-34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,False,
Person and Vehicle search,2016-01-12T03:10:00+00:00,,,52.213844,0.125700,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-12T04:15:00+00:00,,,52.175892,0.141982,Male,25-34,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-12T16:55:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T16:55:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T17:02:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T17:06:00+00:00,,,52.665866,0.170555,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T21:00:00+00:00,,,52.587785,-0.242521,Male,10-17,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-12T21:05:00+00:00,,,52.587785,-0.242521,Male,10-17,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-13T01:55:00+00:00,,,52.594395,-0.285560,Male,over 34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-13T02:25:00+00:00,,,52.201521,0.131946,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-13T02:50:00+00:00,,,52.213555,0.116771,Male,over 34,Asian or Asian British - Pakistani (A2),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-13T14:30:00+00:00,,,,,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-13T14:30:00+00:00,,,,,Female,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person and Vehicle search,2016-01-13T23:30:00+00:00,,,,,Male,25-34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-13T23:30:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-13T23:35:00+00:00,,,,,Male,over 34,Mixed - Any other Mixed ethnic background (M9),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-13T23:40:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-14T00:50:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,False,
Person search,2016-01-14T03:44:00+00:00,,,52.205151,0.119079,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-14T11:20:00+00:00,,,52.547560,0.086408,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-14T14:11:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-14T23:30:00+00:00,,,52.206168,0.132022,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-15T00:45:00+00:00,,,,,Female,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-15T00:45:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-15T02:00:00+00:00,,,52.188062,0.137315,Male,18-24,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-15T02:15:00+00:00,,,52.193454,0.133491,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T02:30:00+00:00,,,52.219165,0.132322,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-15T03:02:00+00:00,,,52.214492,0.124677,Male,18-24,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-15T03:12:00+00:00,,,52.214492,0.124677,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-15T03:30:00+00:00,,,52.601883,-0.233481,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,False,
Person and Vehicle search,2016-01-15T12:50:00+00:00,,,52.555994,-0.251654,Male,25-34,White - White Irish (W2),,,Article for use in theft,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T12:50:00+00:00,,,54.547905,-3.597309,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T14:45:00+00:00,,,52.379549,0.282627,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T22:00:00+00:00,,,52.396342,0.274439,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T22:00:00+00:00,,,52.396342,0.274439,Female,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T22:01:00+00:00,,,52.396342,0.274439,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Vehicle search,2016-01-15T22:55:00+00:00,,,52.565027,-0.108767,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-15T23:45:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-16T00:40:00+00:00,,,54.807078,-3.389920,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-16T03:30:00+00:00,,,52.219726,0.111633,Male,over 34,Not Stated (NS),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-16T15:25:00+00:00,,,52.229908,0.136952,Male,18-24,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-16T15:30:00+00:00,,,52.229908,0.136952,Male,18-24,Black or Black British - Caribbean (B1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-16T15:31:00+00:00,,,52.226495,0.127754,Male,18-24,Black or Black British - Caribbean (B1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-16T17:50:00+00:00,,,52.326590,-0.176949,Male,18-24,White - White British (W1),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-16T18:15:00+00:00,,,,,Male,10-17,Asian or Asian British - Bangladeshi (A3),,,Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2016-01-16T21:05:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-16T21:16:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-16T23:10:00+00:00,,,,,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-16T23:15:00+00:00,,,,,Female,10-17,Mixed - Any other Mixed ethnic background (M9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-16T23:20:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-16T23:20:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person search,2016-01-16T23:30:00+00:00,,,,,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,True,
Person search,2016-01-17T00:15:00+00:00,True,OP CONNECT,52.203164,0.122073,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Offender given drugs possession warning,,
Person search,2016-01-17T00:20:00+00:00,True,OP CONNECT,52.203164,0.122073,Male,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-17T19:45:00+00:00,,,52.188062,0.137315,Male,18-24,,,,Controlled drugs,Offender given drugs possession warning,False,
Person and Vehicle search,2016-01-18T11:35:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-18T15:00:00+00:00,True,OP ICARUS,52.334390,-0.077994,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-18T16:10:00+00:00,,,,,Male,18-24,Asian or Asian British - Pakistani (A2),,,Firearms,Nothing found - no further action,,
Person and Vehicle search,2016-01-18T16:10:00+00:00,,,,,Male,25-34,Not Stated (NS),,,Firearms,Suspect arrested,,
Vehicle search,2016-01-18T18:00:00+00:00,,,,,Male,18-24,White - White British (W1),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-18T18:15:00+00:00,,,52.218793,0.119055,Male,18-24,Asian or Asian British - Bangladeshi (A3),,,Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2016-01-18T18:15:00+00:00,,,,,Male,18-24,Mixed - White and Black African (M2),,,Controlled drugs,Suspect arrested,True,
Person and Vehicle search,2016-01-18T20:30:00+00:00,,,52.218579,0.147769,Female,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-18T23:48:00+00:00,,,52.207382,0.154810,Male,10-17,White - Any other White ethnic background (W9),,,Offensive weapons,Nothing found - no further action,,
Person search,2016-01-18T23:52:00+00:00,,,,,Male,18-24,White - White British (W1),,,Offensive weapons,Nothing found - no further action,,
Person search,2016-01-19T00:45:00+00:00,,,52.196189,0.150757,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-19T00:50:00+00:00,,,52.196189,0.150757,Male,over 34,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-19T01:05:00+00:00,,,52.196189,0.150757,Female,18-24,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-01-19T03:45:00+00:00,True,OP HUNTER PATROLS,54.572026,-3.552647,,,,,,Controlled drugs,Suspect arrested,,
Person search,2016-01-19T09:26:00+00:00,,,,,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-19T15:30:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-19T17:15:00+00:00,,,,,Female,10-17,White - White British (W1),,,Stolen goods,Article found - Detailed outcome unavailable,,
Person search,2016-01-19T17:15:00+00:00,,,,,Female,10-17,White - White British (W1),,,Stolen goods,Article found - Detailed outcome unavailable,,
Person and Vehicle search,2016-01-19T20:35:00+00:00,,,52.199024,0.157494,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-19T20:35:00+00:00,,,52.199024,0.157494,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-19T21:19:00+00:00,,,,,Female,18-24,White - White British (W1),,,Article for use in theft,Suspect arrested,,
Person search,2016-01-19T21:50:00+00:00,,,52.218579,0.147769,Male,18-24,Mixed - White and Black African (M2),,,Controlled drugs,Article found - Detailed outcome unavailable,True,
Vehicle search,2016-01-19T23:15:00+00:00,,,52.571688,-0.226638,Male,18-24,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-19T23:20:00+00:00,,,52.219165,0.132322,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Offender given drugs possession warning,True,
Person and Vehicle search,2016-01-20T00:15:00+00:00,,,52.476270,0.304198,Male,10-17,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-20T00:15:00+00:00,,,52.476270,0.304198,Male,18-24,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-20T00:15:00+00:00,,,52.229800,0.140388,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-20T00:51:00+00:00,,,,,Male,over 34,Asian or Asian British - Pakistani (A2),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-20T00:51:00+00:00,,,52.569299,-0.241873,Male,over 34,Asian or Asian British - Pakistani (A2),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-20T01:20:00+00:00,,,52.591035,-0.250659,Male,25-34,White - White British (W1),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-20T02:20:00+00:00,,,,,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-20T02:25:00+00:00,,,52.227992,0.110971,Male,over 34,Not Stated (NS),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-20T20:58:00+00:00,,,,,Male,over 34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-20T23:05:00+00:00,,,,,Female,over 34,Not Stated (NS),,,Stolen goods,Article found - Detailed outcome unavailable,True,
Person and Vehicle search,2016-01-21T01:57:00+00:00,,,,,Female,18-24,Black or Black British - Any other Black ethnic background (B9),,,Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2016-01-21T01:59:00+00:00,,,52.225282,0.119716,Male,18-24,Black or Black British - African (B2),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-21T02:50:00+00:00,True,Op Hunter patrols,54.561451,-3.555849,Male,10-17,White - Any other White ethnic background (W9),,,Controlled drugs,Nothing found - no further action,,
Vehicle search,2016-01-21T02:50:00+00:00,True,Op Hunter patrols,54.561451,-3.555849,,,,,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-21T10:30:00+00:00,True,OP ICARUS,52.327839,-0.178644,Male,25-34,White - White British (W1),,,Controlled drugs,Nothing found - no further action,,
Person search,2016-01-21T23:40:00+00:00,,,52.212785,0.157341,Male,25-34,Not Stated (NS),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-22T00:00:00+00:00,True,OP HUNTER,52.208273,0.137933,Male,over 34,White - White British (W1),,,Article for use in theft,Suspect arrested,,
Person and Vehicle search,2016-01-22T00:00:00+00:00,True,OP HUNTER,52.208273,0.137933,Male,18-24,Mixed - Any other Mixed ethnic background (M9),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-22T00:20:00+00:00,True,OP HUNTER,54.560789,-3.544364,Male,18-24,White - Any other White ethnic background (W9),,,Stolen goods,Nothing found - no further action,,
Person search,2016-01-22T02:30:00+00:00,,,52.228186,0.128728,Male,25-34,White - White British (W1),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-22T14:45:00+00:00,True,OP HUNTER,,,Male,18-24,Not Stated (NS),,,Article for use in theft,Nothing found - no further action,,
Person search,2016-01-22T21:15:00+00:00,,,,,Male,10-17,White - Any other White ethnic background (W9),,,Article for use in theft,Article found - Detailed outcome unavailable,False,
