Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c3b06ce3a8ec6021a966f25b785060ea427689f80b50316d784b985bac0abcf3,2015-11,Surrey Police,Surrey Police,-0.410407,51.384256,On or near KINGS CLOSE,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
fddc8cb5707297d51a9a88b4458bb4fa33eff1ca80ff08d604af2b2c7a0e7ccf,2015-11,Surrey Police,Surrey Police,-0.420106,51.385107,On or near Shopping Area,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
5e22ce918bc1c1c5d0b4b2f131279424b5d1c07905dea1ca57f40ffabe037652,2015-11,Surrey Police,Surrey Police,-0.420106,51.385107,On or near Shopping Area,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
d30ed44f89511267eff292fc999dfc5983973fad1b30524735c0eb7d727d035e,2015-11,Surrey Police,Surrey Police,-0.419013,51.387655,On or near Parking Area,E01030359,Elmbridge 007C,Investigation complete; no suspect identified
0e44f13336a267ae21a5b942688e4b3e393e95162f68dc8a93b03f26161fdeaf,2015-11,Surrey Police,Surrey Police,-0.415546,51.385675,On or near HIGHFIELD ROAD,E01030358,Elmbridge 007B,Investigation complete; no suspect identified
d7aac5a0636057cc2acb6c317b861d7d91037df46d6325c0413c81409fbc0878,2015-11,Surrey Police,Surrey Police,-0.474055,51.348818,On or near Supermarket,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
6cd4307bc31970e2d2b5b89d90f8a7f3cecfa70100bac4cef8ccadcda2b4d7a4,2015-11,Surrey Police,Surrey Police,-0.471661,51.355181,On or near Park/Open Space,E01030683,Runnymede 010C,Investigation complete; no suspect identified
e6a61e534e8f71997ddbb0927a8f35d2cb9a974277293917f4ad1a1ff3cb3bf9,2015-11,Surrey Police,Surrey Police,-0.478449,51.344505,On or near OYSTER LANE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
2bb67de66a9763ec46511080494f52fb3f0773d07a9f52d1c675228bf26ce5c7,2015-11,Surrey Police,Surrey Police,-0.478449,51.344505,On or near OYSTER LANE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
d55be3db2481aece485d0519263a584dcf746f82539d2e78e5d13a59f5f48376,2015-11,Surrey Police,Surrey Police,-0.472630,51.342892,On or near SOPWITH DRIVE,E01030347,Elmbridge 016B,Investigation complete; no suspect identified
