Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d327e8110f88d0b2c0bca697a984304ea0621c316ef6d930e39d1e8d397508b1,2015-11,Cleveland Police,Cleveland Police,-1.208954,54.690296,On or near MARINA WAY,E01011974,Hartlepool 005B,Offender given conditional discharge
e902cf82b5e5d4f81ae2b160f2b1968550fe88c8937e674204ef923e0f33ad31,2015-11,Cleveland Police,Cleveland Police,-1.194461,54.527329,On or near Supermarket,E01012065,Middlesbrough 017A,Offender fined
84a0ed8303627e9fe321441a8d8d6c476d3b7ed35dc12b7b76ac513cb8dacfe5,2015-11,Cleveland Police,Cleveland Police,-1.248244,54.570427,On or near UNION STREET,E01012041,Middlesbrough 003F,Offender fined
536b058f3330a6dcbaab67d65386502b5f80707d18a48bcfe7b68e63849ae09f,2015-11,Cleveland Police,Cleveland Police,-1.199518,54.550774,On or near OVERDALE ROAD,E01012085,Middlesbrough 010D,Offender sent to prison
68b5f194d91de526ffcbbf5289c02081c0a33c59673ee072a4ee9c945acd21ab,2015-11,Cleveland Police,Cleveland Police,-1.215545,54.673498,On or near Supermarket,E01011987,Hartlepool 008C,Offender ordered to pay compensation
820422804cf8768124e3a365edba9b61f0482f45dd0cb83804a25c7631b36f77,2015-11,Cleveland Police,Cleveland Police,-1.166072,54.571479,On or near Sports/Recreation Area,E01033470,Redcar and Cleveland 022G,Offender sent to prison
adae6cdc6d9fc90cdd411ee0e22e9d2d68bb5a8f18f7e8b0d8ca6daab8c6fbb8,2015-11,Cleveland Police,Cleveland Police,-1.230785,54.547993,On or near PORTRUSH CLOSE,E01012021,Middlesbrough 011D,Defendant found not guilty
4623ddeb80b35a972d9f53ffd9e6d827ea074af672d66ebd9dbf75d286629e9b,2015-11,Cleveland Police,Cleveland Police,-1.219604,54.542520,On or near EPSOM AVENUE,E01012051,Middlesbrough 014C,Offender given suspended prison sentence
866c7c52d77370a64952f80418dc835b894e2e338ef57110e005a6b07fd2aac4,2015-11,Cleveland Police,Cleveland Police,-1.212064,54.685077,On or near Shopping Area,E01011999,Hartlepool 007D,Offender ordered to pay compensation
a280bfc75270e9c35a65a14d85cf87c9aceb7ed0cc48344e3141c460466d44b7,2015-11,Cleveland Police,Cleveland Police,-1.300683,54.543106,On or near LABURNUM AVENUE,E01012291,Stockton-on-Tees 019B,Offender fined
be0c807732c9186dc88bd6943e2178a5c624a4a6c00583368cb29d7ee8f0a2f2,2015-11,Cleveland Police,Cleveland Police,-1.316099,54.563154,On or near ALBION STREET,E01033477,Stockton-on-Tees 014G,Offender given conditional discharge
b7e2bfbc397efb422585d6d95a1c05e6a31d7503c207c88b1b635db9bb1a0eed,2015-11,Cleveland Police,Cleveland Police,-1.204427,54.561492,On or near Norfolk Place Shops,E01012075,Middlesbrough 004B,Offender given community sentence
7ecb493e4919a6a1554230aee05efe3e3aca2d41a6669fb8c2d4bb4e04b42da5,2015-11,Cleveland Police,Cleveland Police,-1.180921,54.553795,On or near DUNHOLM AVENUE,E01012017,Middlesbrough 007C,Court case unable to proceed
32600633745ac74ecf24fa4bcfb96059882215037ec0ed77cb8b8b8e8467e030,2015-11,Cleveland Police,Cleveland Police,-1.261708,54.552940,On or near BALFOUR TERRACE,E01012054,Middlesbrough 009B,Offender given absolute discharge
d3344c4d8de98684509d54d741b640614d304649277d6aa635ade1247b3f04f4,2015-11,Cleveland Police,Cleveland Police,-1.249107,54.568895,On or near Supermarket,E01012038,Middlesbrough 003C,Offender sent to prison
7828d446e22d1fcef2f77f00a6b9c1218adc2e2c8aaf16e1e22559ced24e1b09,2015-11,Cleveland Police,Cleveland Police,-1.190213,54.549122,On or near LEALHOLM CRESCENT,E01012017,Middlesbrough 007C,Offender given conditional discharge
2c646c55027d8711ecc2803e292fe83778ac766aefd9c69d280a89cb090fdfa8,2015-11,Cleveland Police,Cleveland Police,-1.236569,54.575234,On or near Parking Area,E01012068,Middlesbrough 001A,Offender sent to prison
b24afb239d438b837486742e5e2cf23114408772a754cc52695be2bdef9c393e,2015-11,Cleveland Police,Cleveland Police,-1.200304,54.554087,On or near PENRITH ROAD,E01012084,Middlesbrough 010C,Offender otherwise dealt with
4041f4a4a35916929ba9821288438530db202d5d2ac32c2b9072b19e926f4e1b,2015-11,Cleveland Police,Cleveland Police,-1.061942,54.534957,On or near PARK LANE,E01012119,Redcar and Cleveland 018C,Offender fined
03b46142745c33b7212da3453dea1868507306fb93ee6ea3322259888e2b8b4a,2015-11,Cleveland Police,Cleveland Police,-1.341535,54.588351,On or near Supermarket,E01012249,Stockton-on-Tees 008B,Offender sent to prison
f8003dcd1083f9b5c6da0b9d84f262eaeea9ec9ac90148a83f6af60e957143cd,2015-11,Cleveland Police,Cleveland Police,-1.233970,54.676635,On or near Sports/Recreation Area,E01011949,Hartlepool 009A,Offender given community sentence
bc7a188d83dfa595582fd0f994c33a112fbb33b1122228caedb49b72a6da44e0,2015-11,Cleveland Police,Cleveland Police,-1.240302,54.569991,On or near PORTMAN STREET,E01012039,Middlesbrough 003D,Offender fined
39587e8788cf978278e9bcb152c13ba8368e35a53efa832c516aafc27451fbcb,2015-11,Cleveland Police,Cleveland Police,-1.309747,54.587644,On or near Supermarket,E01012260,Stockton-on-Tees 007C,Offender sent to prison
11ca7b919af2e36bf98c5d29e76bfee1b71ea67e52c8366af3288cd09f4e645a,2015-11,Cleveland Police,Cleveland Police,-1.206073,54.556371,On or near KELSO COURT,E01012083,Middlesbrough 010B,Defendant found not guilty
a15123875fbaa275b4766d1b03e0705c88237cf59ea8b92eee4e0c151750a676,2015-11,Cleveland Police,Cleveland Police,-1.236596,54.660682,On or near Supermarket,E01011978,Hartlepool 012D,Offender given community sentence
128d303815da65d74f95b19169d76084b1ecc8690d168862b8a45e1fc286039b,2015-11,Cleveland Police,Cleveland Police,-1.064163,54.618231,On or near Shopping Area,E01012102,Redcar and Cleveland 001C,Offender given community sentence
31a82efe8474934c78526f0ee7766d8e0ca6d5b8528f9a52952f821fc733e8e4,2015-11,Cleveland Police,Cleveland Police,-1.261708,54.552940,On or near BALFOUR TERRACE,E01012054,Middlesbrough 009B,Offender sent to prison
f4ff21f8e295332292cd82aaad13b6881e7c0b8eac22dc21019bccc3d6e63ff5,2015-11,Cleveland Police,Cleveland Police,-1.333564,54.589404,On or near ROSTHWAITE AVENUE,E01012273,Stockton-on-Tees 008E,Offender given community sentence
d7fefdcc9cdb87a0734489201f57b3a57ed6627c4cf5827a7968761656f3f685,2015-11,Cleveland Police,Cleveland Police,-1.361146,54.497984,On or near FLOUNDERS ROAD,E01012300,Stockton-on-Tees 024D,Offender given community sentence
e9b94769bf850010384695311a36069023dfb1b54f291f0d841ccbde1d233af7,2015-11,Cleveland Police,Cleveland Police,-1.238548,54.575300,On or near Captain Cook Square,E01012068,Middlesbrough 001A,Offender fined
817c6bd4e9045f4308c6266d83424c488f0f90febccaa2a4efedb3afd4978b6a,2015-11,Cleveland Police,Cleveland Police,-1.346775,54.582924,On or near Hospital,E01032544,Stockton-on-Tees 009H,Offender given community sentence
1144225e6fab9ac2c6e4d1a319c7b5906100d5f5d3901d1e8dcda66586dd026c,2015-11,Cleveland Police,Cleveland Police,-1.181595,54.549459,On or near Petrol Station,E01012150,Redcar and Cleveland 021B,Offender given community sentence
8a5a5f1fa3fa15da8adef0d18882870ae8f805c4e50e0762703ded69fc93ee81,2015-11,Cleveland Police,Cleveland Police,-1.213734,54.683785,On or near Supermarket,E01011999,Hartlepool 007D,Offender given conditional discharge
2a01ce378e0e6c9ba26737338fe29cec733e49df5c202f44ac4205875b9dadce,2015-11,Cleveland Police,Cleveland Police,-1.211358,54.684686,On or near Pedestrian Subway,E01011999,Hartlepool 007D,Offender fined
33c32944cbcdd21a0b15ddb3981b92a060402328a8821eabd718424a12ff3393,2015-11,Cleveland Police,Cleveland Police,-1.342514,54.593883,On or near BLAKESTON LANE,E01012249,Stockton-on-Tees 008B,Offender fined
d6e1863d9a92624bafdc89674c6c98fce23be383d7f6be1ae58b6daf6947526c,2015-11,Cleveland Police,Cleveland Police,-1.341535,54.588351,On or near Supermarket,E01012249,Stockton-on-Tees 008B,Offender sent to prison
af26618804eb5d0e113e679b96a153b02927aba9cd41ba01441031ecbe0d5a11,2015-11,Cleveland Police,Cleveland Police,-1.244401,54.559115,On or near WINDSOR ROAD,E01012081,Middlesbrough 005D,Offender given community sentence
6bdcd72d4a94e56c119d4443f425d4131a4cb032bb281162c41b36748601a453,2015-11,Cleveland Police,Cleveland Police,-1.064740,54.618712,On or near BATH STREET,E01012100,Redcar and Cleveland 001A,Offender given community sentence
3b36b6d02df9d8ec7b01a8aed9309596cbf0592b8daf1af5094257a0274f128a,2015-11,Cleveland Police,Cleveland Police,-1.236892,54.580304,On or near Middlesbrough Police HQ,E01033468,Middlesbrough 001G,Offender otherwise dealt with
f36dce2186cd3afd2db21e3b28b5a6cbf28f4cbdbebb8cc46273db785fc1253d,2015-11,Cleveland Police,Cleveland Police,-1.320453,54.561741,On or near WORTHING STREET,E01033477,Stockton-on-Tees 014G,Offender given conditional discharge
28f8389ea256057f908d9b5882bba302ea3855d2de67e97d58bfdaa8446a8879,2015-11,Cleveland Police,Cleveland Police,-1.316324,54.561763,On or near YORK STREET,E01033477,Stockton-on-Tees 014G,Defendant found not guilty
bfa91791f38030d3580f1da704298eba5ed880d8ab8a798b3e0eeb6dc4d3c89c,2015-11,Cleveland Police,Cleveland Police,-1.280129,54.570953,On or near PORTRACK GRANGE ROAD,E01012266,Stockton-on-Tees 014E,Offender sent to prison
967b082e5c61a6b901e073698979304642e81ef4479ff8e1da9ef26361e07e12,2015-11,Cleveland Police,Cleveland Police,-1.213649,54.688179,On or near Supermarket,E01011974,Hartlepool 005B,Offender given community sentence
