Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64b504fa7f7a074d443521734ba0912ee5ffeed7b3342d16db0f155c3028e2a5,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.268241,51.647408,On or near LULLINGTON GARTH,E01023542,Hertsmere 011D,Investigation complete; no suspect identified
315a33020699167c387c94433f5f02d0bd039fe8a4aff628e09e0c76b0efa8f9,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.322721,51.677109,On or near LOOM LANE,E01023524,Hertsmere 005B,Investigation complete; no suspect identified
9a8bd9f7d263495f2c2f3eb8f2cf0ae832d5553fd190cd4b90b972bc80a8bc39,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272373,51.661911,On or near Sports/Recreation Area,E01023538,Hertsmere 006E,Investigation complete; no suspect identified
fca098a8a7a415fe9c84680c754bfeadbd24769c01c13a97dc74818796ea7d0b,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.290758,51.663618,On or near TUDOR COURT,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
5b53c69c3dbe3fc84bc01c0de410a932729af1c928fabaeeb58a0ee9a41d715f,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.266150,51.649545,On or near OAK FARM,E01023540,Hertsmere 011B,Investigation complete; no suspect identified
204e4cbe4d53d3f21ce35a81576de0a6930f8444e09901ed3ad4b6444aaf8759,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253005,51.648568,On or near RICHMOND CLOSE,E01023547,Hertsmere 009D,Investigation complete; no suspect identified
8f6b65342f907eb1098266cd94685dd30c9fb44d28b1483047769714c7d0ed42,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.284981,51.664973,On or near ALCONBURY CLOSE,E01023529,Hertsmere 007A,Investigation complete; no suspect identified
850ddfe8c364e49a1235cad5acd93f70a733c55330d1a6b3b649e3505b328541,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.272676,51.667625,On or near CROWN ROAD,E01023537,Hertsmere 006D,Investigation complete; no suspect identified
b52424c9f71cd823cf2bac863dd6d10be56a3a0f3649dcf3b6411c3d3cf54a05,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.323707,51.695071,On or near WATLING KNOLL,E01023526,Hertsmere 005D,Investigation complete; no suspect identified
45b9bd04d3a8829c52c033c65185d159c118aef3b7481d9778a8403b354ba238,2015-11,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253023,51.658612,On or near Petrol Station,E01023546,Hertsmere 009C,Investigation complete; no suspect identified
