Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
6a13d26cb246c5ff74a35cac3512aaf97288e5f328b6822a63c89ca0e638a5ef,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.709080,52.243796,On or near Supermarket,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
b25b8bce01e523035c89f497cf18d6fe5c05eb06ffa1bc6a2f70006e81c93c87,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.399075,52.243105,On or near BLACK BEAR LANE,E01029949,Forest Heath 008B,Investigation complete; no suspect identified
c61fb39e81d93a75dfdcae14134d2e912aa60a89916a13b19d197b6dbe100d10,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.494077,52.271359,On or near MOULTON AVENUE,E01029957,Forest Heath 005C,Investigation complete; no suspect identified
cbabc53defb4c1e923eb18822f1795cdfd3769e77398f66d8e865d6e945bc9e7,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.525708,52.189826,On or near BURY LANE,E01030150,St Edmundsbury 010C,Investigation complete; no suspect identified
196b6c313cf07706601b32c91b9e87cd7b5b9407abc4a182c2271013e3f25a2b,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.137382,52.067066,On or near Supermarket,E01030022,Ipswich 006A,Investigation complete; no suspect identified
c3c07e3b8ce53855364fffd24ee6549cf09e342a2a8788f715cf42407d4ad334,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.597796,52.327412,On or near THE HALL CLOSE,E01029941,Forest Heath 005A,Investigation complete; no suspect identified
6d1b1463df7be9e1523ca3427cf4390d07b66cf696e0eb43744876c0724f51eb,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.425765,52.077495,On or near HOLBROOK ROAD,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
07d1a6ccbc795f821a422b4c11a30cca3d65ad2e79a3a3af9631f837942e8263,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.854620,52.030732,On or near DAKING AVENUE,E01029875,Babergh 009A,Investigation complete; no suspect identified
9968f50dc02db316fb0a780f418ab26346201ca3eb46cf81f1be49088c7a7b82,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.144214,52.054014,On or near Parking Area,E01029988,Ipswich 010E,Investigation complete; no suspect identified
208db7304c1a7ebe5e2264c8730be867dafe994276de8d885daa238dcdd5d63d,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.748940,52.032590,On or near CORNERTH CRESCENT,E01029886,Babergh 008A,Investigation complete; no suspect identified
